category,state,closed_at,opened_at,closed_by,number,sys_updated_by,location,assigned_to,caller_id,sys_updated_on,short_description,assignment_group,priority,reassignment_count,predicted_by_model
Network,Resolved,2023-07-25 9:09:00,2023-07-24 9:09:00,Howard Johnson,INC000000741,admin,India,Luke Wilson,Don Goodliffe,2023-07-25 9:09:00,Slow internet connectivity issues,Network,3 - Moderate,4,FALSE
Network,Resolved,2023-07-31 4:33:45,2023-07-24 9:13:00,Beth Anglin,INC000000742,admin,UK,Charlie Whitherspoon,Don Goodliffe,2023-07-31 4:33:45,Unable to connect to VPN,Network,2 - High,5,FALSE
Hardware,Resolved,2023-08-11 14:17:08,2023-07-25 8:08:00,Beth Anglin,INC000000743,system,Canada,Fred Luddy,David Loo,2023-08-11 14:17:08,Motherboard failure on company desktop,Hardware,2 - High,6,FALSE
Software,Closed,2023-08-02 12:16:10,2023-07-25 20:00:00,Howard Johnson,INC000000744,admin,Australia,Charlie Whitherspoon,ITIL User,2023-08-02 12:16:10,Error 404 on Software789,Software,2 - High,7,FALSE
Hardware,Resolved,2023-07-21 15:12:00,2023-07-20 16:26:00,Fred Luddy,INC000001008,admin,United States,Fred Luddy,Bud Richman,2023-09-19 16:26:00,Email system outage affecting multiple users,Service Desk,1 - Critical,0,TRUE
Hardware,Resolved,2023-07-21 15:12:00,2023-07-20 23:57:00,Beth Anglin,INC000001009,system,Australia,Charlie Whitherspoon,Don Goodliffe,2023-09-19 23:57:00,Email system outage impacting multiple users,Service Desk,1 - Critical,0,TRUE
Hardware,Closed,2023-07-21 15:12:00,2023-07-21 3:31:00,Fred Luddy,INC000001010,system,Australia,Beth Anglin,David Loo,2023-09-20 10:43:00,Email system downtime reported by several users,Service Desk,2 - High,0,TRUE
Hardware,Closed,2023-08-08 2:22:20,2023-07-27 8:18:00,Charlie Whitherspoon,INC000000748,system,UK,Charlie Whitherspoon,Don Goodliffe,2023-08-08 2:22:20,UK laptop malfunctioning,Hardware,2 - High,1,FALSE
Network,Closed,2023-08-08 20:25:26,2023-07-27 19:21:00,Fred Luddy,INC000000749,system,United States,Beth Anglin,Bud Richman,2023-08-08 20:25:26,Network outage in United States office,Network,1 - Critical,2,FALSE
Inquiry / Help,Closed,2023-08-04 22:43:36,2023-07-28 19:29:00,Charlie Whitherspoon,INC000000750,admin,Canada,Luke Wilson,ITIL User,2023-08-04 22:43:36,Need assistance with VPN setup,Service Desk,3 - Moderate,2,FALSE
Hardware,Closed,2023-08-07 18:20:24,2023-07-29 10:15:00,Luke Wilson,INC000000751,employee,Australia,Luke Wilson,Don Goodliffe,2023-08-07 18:20:24,Issue with Printer546 in Australia,Hardware,2 - High,2,FALSE
Hardware,Closed,2023-08-02 5:21:26,2023-07-29 11:39:00,Charlie Whitherspoon,INC000000752,employee,Australia,Howard Johnson,ITIL User,2023-08-02 5:21:26,Printer error on Printer546,Hardware,2 - High,2,FALSE
Hardware,Resolved,2023-07-24 0:14:00,2023-07-23 0:14:00,Beth Anglin,INC000001015,admin,Australia,Howard Johnson,ITIL User,2023-09-22 21:50:00,Email system down for multiple users,Service Desk,1 - Critical,0,TRUE
Inquiry / Help,Closed,2023-07-24 0:14:00,2023-07-23 4:16:00,Beth Anglin,INC000001016,admin,India,Howard Johnson,ITIL User,2023-08-03 14:38:55,Email system downtime reported by several users,Service Desk,2 - High,0,TRUE
Hardware,Closed,2023-07-24 0:14:00,2023-07-23 14:46:00,Charlie Whitherspoon,INC000001017,system,Canada,Howard Johnson,David Loo,2023-09-23 12:22:00,Email system down for multiple users,Service Desk,1 - Critical,0,TRUE
Hardware,Resolved,2023-07-24 0:14:00,2023-07-23 17:52:00,Luke Wilson,INC000001018,admin,Australia,Beth Anglin,Don Goodliffe,2023-09-23 15:28:00,Email system outage reported by multiple users,Service Desk,1 - Critical,0,TRUE
Hardware,Resolved,2023-07-24 0:14:00,2023-07-23 19:10:00,Beth Anglin,INC000001019,employee,Australia,Fred Luddy,David Loo,2023-09-23 16:46:00,Email system outage reported by multiple users,Service Desk,1 - Critical,0,TRUE
Hardware,Resolved,2023-07-24 0:14:00,2023-07-23 22:33:00,Howard Johnson,INC000001020,employee,Canada,Charlie Whitherspoon,ITIL User,2023-09-23 20:09:00,Email server outage affecting entire department,Network,1 - Critical,0,TRUE
Hardware,Resolved,2023-07-24 0:14:00,2023-07-23 22:36:00,Charlie Whitherspoon,INC000001021,admin,Australia,Beth Anglin,Bud Richman,2023-09-23 20:12:00,Email server is not responding,Network,1 - Critical,0,TRUE
Inquiry / Help,Closed,2023-07-27 4:40:00,2023-07-26 6:53:00,Charlie Whitherspoon,INC000000745,admin,Canada,Charlie Whitherspoon,Bud Richman,2023-08-12 18:27:48,Need assistance with software installation,Service Desk,3 - Moderate,0,TRUE
Network,Closed,2023-08-04 8:39:00,2023-08-03 8:39:00,Fred Luddy,INC000000761,employee,India,Howard Johnson,Don Goodliffe,2023-08-04 8:39:00,Unable to connect to server,Network,2 - High,1,FALSE
Hardware,Resolved,2023-08-17 4:45:43,2023-08-03 16:41:00,Beth Anglin,INC000000762,employee,Australia,Beth Anglin,Don Goodliffe,2023-08-17 4:45:43,Printer546 is not printing in Australia,Hardware,2 - High,1,FALSE
Hardware,Resolved,2023-08-04 18:56:00,2023-08-03 18:56:00,Fred Luddy,INC000000763,employee,Australia,Luke Wilson,Don Goodliffe,2023-08-04 18:56:00,Printer789 is malfunctioning in Australia,Hardware,2 - High,1,FALSE
Hardware,Resolved,2023-08-14 9:36:00,2023-08-05 7:39:00,Howard Johnson,INC000000764,admin,Australia,Charlie Whitherspoon,ITIL User,2023-08-14 9:36:00,Printer error at Printer546 in Australia,Hardware,2 - High,1,FALSE
Hardware,Resolved,2023-08-07 9:44:00,2023-08-06 9:44:00,Beth Anglin,INC000000765,employee,Australia,Howard Johnson,Bud Richman,2023-08-07 9:44:00,Printer546 in Australia location has a paper jam,Hardware,2 - High,1,FALSE
Hardware,Closed,2023-08-15 14:03:57,2023-08-07 2:37:00,Howard Johnson,INC000000766,employee,Australia,Charlie Whitherspoon,ITIL User,2023-08-15 14:03:57,Printer467 is out of service!,Hardware,2 - High,1,FALSE
Hardware,Closed,2023-07-27 4:40:00,2023-07-26 17:09:00,Beth Anglin,INC000000746,system,Australia,Howard Johnson,David Loo,2023-08-02 4:32:05,Issue with Printer546 in Australia,Hardware,2 - High,0,TRUE
Hardware,Closed,2023-08-28 16:17:40,2023-08-09 4:10:00,Charlie Whitherspoon,INC000000768,admin,Australia,Howard Johnson,Don Goodliffe,2023-08-28 16:17:40,Printer678 issue in Australia,Hardware,2 - High,1,FALSE
Network,Closed,2023-08-10 6:30:12,2023-08-09 4:13:00,Charlie Whitherspoon,INC000000769,admin,United States,Howard Johnson,ITIL User,2023-08-10 6:30:12,Unable to connect to VPN,Network,2 - High,2,FALSE
Hardware,Closed,2023-08-19 0:17:37,2023-08-09 17:08:00,Luke Wilson,INC000000770,system,Australia,Fred Luddy,Bud Richman,2023-08-19 0:17:37,Printer789 is not responding,Hardware,1 - Critical,2,FALSE
Inquiry / Help,Closed,2023-08-20 2:50:00,2023-08-10 8:09:00,Fred Luddy,INC000000771,employee,UK,Fred Luddy,ITIL User,2023-08-20 2:50:00,Need assistance with IT inquiry,Service Desk,3 - Moderate,2,FALSE
Hardware,Closed,2023-08-24 3:39:08,2023-08-11 4:15:00,Luke Wilson,INC000000772,employee,Australia,Fred Luddy,ITIL User,2023-08-24 3:39:08,Printer546 is not printing in Australia,Hardware,1 - Critical,2,FALSE
Hardware,Resolved,2023-07-30 9:49:00,2023-07-27 4:40:00,Howard Johnson,INC000000747,system,Australia,Luke Wilson,Don Goodliffe,2023-08-07 6:13:36,Printer546 is not working,Hardware,2 - High,0,TRUE
Hardware,Closed,2023-08-18 23:36:22,2023-08-12 3:28:00,Luke Wilson,INC000000774,system,Australia,Charlie Whitherspoon,David Loo,2023-08-18 23:36:22,Printer546 is not working,Hardware,3 - Moderate,1,FALSE
Hardware,Resolved,2023-08-13 15:36:00,2023-08-12 15:36:00,Howard Johnson,INC000000775,admin,Australia,Fred Luddy,Bud Richman,2023-08-13 15:36:00,Printer546 is not functioning in Australia,Hardware,2 - High,1,FALSE
Hardware,Resolved,2023-08-19 5:22:39,2023-08-13 8:04:00,Luke Wilson,INC000000776,system,Australia,Beth Anglin,Don Goodliffe,2023-08-19 5:22:39,Printer546 is not working,Hardware,1 - Critical,1,FALSE
Software,Closed,2023-08-03 13:35:26,2023-07-30 9:49:00,Beth Anglin,INC000000753,admin,Australia,Beth Anglin,David Loo,2023-08-03 13:35:26,MySQL database connection error on server AU120,Software,2 - High,0,TRUE
Software,Closed,2023-08-11 16:02:38,2023-07-30 9:52:00,Fred Luddy,INC000000754,employee,Australia,Charlie Whitherspoon,ITIL User,2023-08-11 16:02:38,Unable to update software on local machine,Software,2 - High,0,TRUE
Hardware,Closed,2023-08-13 6:44:24,2023-07-30 17:08:00,Charlie Whitherspoon,INC000000755,employee,UK,Beth Anglin,ITIL User,2023-08-13 6:44:24,Broken server needs replacement,Hardware,2 - High,0,TRUE
Hardware,Closed,2023-08-02 5:44:00,2023-08-01 5:44:00,Fred Luddy,INC000000756,employee,Australia,Beth Anglin,ITIL User,2023-08-02 5:44:00,Printer546 is not functioning correctly,Hardware,2 - High,0,TRUE
Hardware,Resolved,2023-08-07 18:21:45,2023-08-01 11:34:00,Beth Anglin,INC000000757,employee,Australia,Luke Wilson,David Loo,2023-08-07 18:21:45,Printer322 is malfunctioning in Australia,Hardware,2 - High,0,TRUE
Hardware,Resolved,2023-08-10 22:01:38,2023-08-01 13:22:00,Beth Anglin,INC000000758,employee,Australia,Luke Wilson,David Loo,2023-08-10 22:01:38,Printer420 is not responding,Hardware,1 - Critical,0,TRUE
Hardware,Resolved,2023-08-09 7:59:01,2023-08-02 7:41:00,Luke Wilson,INC000000759,admin,Australia,Howard Johnson,Bud Richman,2023-08-09 7:59:01,Printer327 has stopped working in Australia,Hardware,1 - Critical,0,TRUE
Hardware,Closed,2023-08-05 8:06:09,2023-08-02 14:46:00,Luke Wilson,INC000000760,employee,India,Charlie Whitherspoon,Don Goodliffe,2023-08-05 8:06:09,Monitor display intermittent failure,Hardware,2 - High,0,TRUE
Hardware,Closed,2023-08-24 3:28:10,2023-08-20 18:16:00,Luke Wilson,INC000000785,employee,Australia,Charlie Whitherspoon,Bud Richman,2023-08-24 3:28:10,Printer546 is failing,Hardware,1 - Critical,1,FALSE
Inquiry / Help,Closed,2023-08-26 15:36:57,2023-08-21 7:17:00,Howard Johnson,INC000000786,admin,India,Fred Luddy,Bud Richman,2023-08-26 15:36:57,Need help with software installation,Service Desk,3 - Moderate,1,FALSE
Hardware,Closed,2023-09-05 2:07:43,2023-08-21 7:38:00,Howard Johnson,INC000000787,admin,United States,Howard Johnson,David Loo,2023-09-05 2:07:43,Hardware issue with the CPU overheating,Hardware,1 - Critical,1,FALSE
Database,Resolved,2023-08-22 19:11:00,2023-08-21 19:11:00,Charlie Whitherspoon,INC000000788,employee,UK,Beth Anglin,David Loo,2023-08-22 19:11:00,Error detected in Database system,Database,1 - Critical,1,FALSE
Hardware,Resolved,2023-10-07 20:57:00,2023-08-03 16:09:00,Fred Luddy,INC000001054,system,Australia,Beth Anglin,David Loo,2023-10-07 20:57:00,Email service disruption reported by multiple users,Service Desk,1 - Critical,0,TRUE
Hardware,Closed,2023-10-08 1:21:00,2023-08-03 20:33:00,Beth Anglin,INC000001055,employee,Australia,Beth Anglin,David Loo,2023-10-08 1:21:00,Email service disruption reported,Service Desk,2 - High,0,TRUE
Hardware,Resolved,2023-10-08 1:49:00,2023-08-03 21:01:00,Fred Luddy,INC000001056,admin,Australia,Charlie Whitherspoon,David Loo,2023-10-08 1:49:00,Email server response time is slow,Network,2 - High,0,TRUE
Hardware,Resolved,2023-10-08 2:10:00,2023-08-03 21:22:00,Fred Luddy,INC000001057,admin,Canada,Charlie Whitherspoon,ITIL User,2023-10-08 2:10:00,Email system downtime affecting multiple departments,Service Desk,1 - Critical,0,TRUE
Hardware,Resolved,2023-10-08 18:32:00,2023-08-04 6:32:00,Howard Johnson,INC000001058,system,Canada,Luke Wilson,Don Goodliffe,2023-10-08 18:32:00,Email system outage reported by several users,Service Desk,2 - High,0,TRUE
Hardware,Closed,2023-10-09 10:54:00,2023-08-04 22:54:00,Beth Anglin,INC000001059,system,India,Howard Johnson,Bud Richman,2023-10-09 10:54:00,Email system downtime reported by multiple users,Service Desk,2 - High,0,TRUE
Database,Closed,2023-08-12 20:38:14,2023-08-05 8:42:00,Charlie Whitherspoon,INC000001060,admin,United States,Charlie Whitherspoon,Bud Richman,2023-08-12 20:38:14,Email system outage reported by multiple users,Service Desk,1 - Critical,0,TRUE
Hardware,Resolved,2023-10-11 20:34:00,2023-08-06 18:10:00,Luke Wilson,INC000001061,system,Australia,Luke Wilson,David Loo,2023-10-11 20:34:00,Email system down,Service Desk,1 - Critical,0,TRUE
Network,Closed,2023-08-14 15:55:16,2023-08-07 12:29:00,Howard Johnson,INC000001062,admin,India,Fred Luddy,Don Goodliffe,2023-08-14 15:55:16,Email service disruption for user group A,Service Desk,2 - High,0,TRUE
Database,Closed,2023-08-14 18:04:55,2023-08-07 15:18:00,Fred Luddy,INC000001063,employee,India,Charlie Whitherspoon,ITIL User,2023-08-14 18:04:55,Email outage reported by multiple users,Service Desk,1 - Critical,0,TRUE
Hardware,Closed,2023-09-03 2:19:00,2023-09-02 2:19:00,Howard Johnson,INC000000799,employee,India,Luke Wilson,David Loo,2023-09-03 2:19:00,Issue with motherboard in workstation DSK789,Hardware,2 - High,1,FALSE
Software,Resolved,2023-09-11 18:47:05,2023-09-02 3:20:00,Luke Wilson,INC000000800,system,UK,Fred Luddy,Bud Richman,2023-09-11 18:47:05,Error with billing software,Software,2 - High,1,FALSE
Hardware,Closed,2023-09-14 16:03:56,2023-09-03 7:56:00,Charlie Whitherspoon,INC000000801,system,Australia,Howard Johnson,ITIL User,2023-09-14 16:03:56,Printer567 is not responding,Hardware,2 - High,1,FALSE
Hardware,Closed,2023-09-13 5:14:51,2023-09-03 12:21:00,Charlie Whitherspoon,INC000000802,employee,Australia,Fred Luddy,Bud Richman,2023-09-13 5:14:51,Printer546 - printing issue in Australia,Hardware,2 - High,1,FALSE
Hardware,Closed,2023-09-13 13:44:33,2023-09-03 15:48:00,Fred Luddy,INC000000803,system,India,Howard Johnson,David Loo,2023-09-13 13:44:33,Bad sector on Hard Disk in desktop model ID E0395,Hardware,3 - Moderate,1,FALSE
Hardware,Closed,2023-10-13 1:52:00,2023-08-07 16:16:00,Charlie Whitherspoon,INC000001064,admin,Australia,Charlie Whitherspoon,David Loo,2023-10-13 1:52:00,Email system latency impacting workflow,Service Desk,2 - High,0,TRUE
Hardware,Closed,2023-08-15 21:18:28,2023-08-08 9:29:00,Charlie Whitherspoon,INC000000767,admin,Australia,Howard Johnson,Don Goodliffe,2023-08-15 21:18:28,Issue with Printer546 in Australia,Hardware,3 - Moderate,0,TRUE
Software,Resolved,2023-08-20 2:53:43,2023-08-08 9:33:00,Beth Anglin,INC000001065,system,Australia,Fred Luddy,Bud Richman,2023-08-20 2:53:43,Email server downtime impacting department operations,Service Desk,1 - Critical,0,TRUE
Hardware,Resolved,2023-08-13 6:41:19,2023-08-08 11:22:00,Beth Anglin,INC000001066,system,Australia,Fred Luddy,David Loo,2023-10-14 4:10:00,Email system down for multiple users,Service Desk,1 - Critical,0,TRUE
Software,Closed,2023-08-13 6:41:19,2023-08-11 9:04:00,Charlie Whitherspoon,INC000000773,admin,UK,Beth Anglin,David Loo,2023-08-13 6:41:19,Software Issue: Error while loading application on VM,Software,3 - Moderate,0,TRUE
Hardware,Resolved,2023-08-17 17:26:25,2023-08-14 9:58:00,Howard Johnson,INC000000777,system,Australia,Beth Anglin,ITIL User,2023-08-17 17:26:25,Printer546 Error in Australia,Hardware,3 - Moderate,0,TRUE
Hardware,Resolved,2023-09-13 1:47:33,2023-09-08 17:14:00,Howard Johnson,INC000000810,admin,Canada,Beth Anglin,Bud Richman,2023-09-13 1:47:33,Workstation CPU Overheating,Hardware,2 - High,1,FALSE
Hardware,Resolved,2023-09-17 17:36:33,2023-09-11 18:57:00,Beth Anglin,INC000000811,admin,Australia,Beth Anglin,Don Goodliffe,2023-09-17 17:36:33,Issue with Printer546 in Australia,Hardware,2 - High,1,FALSE
Database,Closed,2023-09-22 23:55:18,2023-09-12 15:43:00,Luke Wilson,INC000000812,system,United States,Howard Johnson,Don Goodliffe,2023-09-22 23:55:18,Database Error ID382 - System Slowdown,Database,2 - High,2,FALSE
Database,Closed,2023-09-18 8:09:08,2023-09-13 3:14:00,Howard Johnson,INC000000813,system,UK,Charlie Whitherspoon,ITIL User,2023-09-18 8:09:08,Error loading Database267 in the UK office,Database,2 - High,2,FALSE
Hardware,Resolved,2023-09-18 19:43:09,2023-09-13 23:38:00,Luke Wilson,INC000000814,employee,Australia,Charlie Whitherspoon,Bud Richman,2023-09-18 19:43:09,Printer546 is malfunctioning in Australia,Hardware,2 - High,2,FALSE
Hardware,Resolved,2023-08-21 8:48:35,2023-08-15 20:03:00,Beth Anglin,INC000000778,employee,Australia,Fred Luddy,ITIL User,2023-08-21 8:48:35,Printer546 is malfunctioning,Hardware,1 - Critical,0,TRUE
Hardware,Closed,2023-08-22 4:24:28,2023-08-16 19:14:00,Fred Luddy,INC000000779,system,Australia,Beth Anglin,Don Goodliffe,2023-08-22 4:24:28,Issue with Printer546 in Australia,Hardware,2 - High,0,TRUE
Hardware,Resolved,2023-08-25 9:49:36,2023-08-17 11:38:00,Luke Wilson,INC000000780,admin,Australia,Charlie Whitherspoon,David Loo,2023-08-25 9:49:36,Printer issue with Printer546,Hardware,1 - Critical,0,TRUE
Hardware,Closed,2023-08-19 10:57:00,2023-08-18 10:57:00,Fred Luddy,INC000000781,admin,Australia,Charlie Whitherspoon,ITIL User,2023-08-19 10:57:00,Issue with Printer546,Hardware,1 - Critical,0,TRUE
Database,Closed,2023-08-23 19:40:27,2023-08-19 12:57:00,Howard Johnson,INC000000782,system,UK,Howard Johnson,Bud Richman,2023-08-23 19:40:27,Connection issue with UK_DB47 Database,Database,2 - High,0,TRUE
Hardware,Closed,2023-08-24 0:59:37,2023-08-20 8:09:00,Charlie Whitherspoon,INC000000783,employee,Australia,Howard Johnson,David Loo,2023-08-24 0:59:37,Printer678 malfunctioning in Australia,Hardware,2 - High,0,TRUE
Hardware,Resolved,2023-08-26 9:29:02,2023-08-20 8:38:00,Fred Luddy,INC000000784,employee,Australia,Beth Anglin,ITIL User,2023-08-26 9:29:02,Issue with Printer546 in Australia,Hardware,2 - High,0,TRUE
Hardware,Closed,2023-09-30 16:57:13,2023-09-18 3:29:00,Charlie Whitherspoon,INC000000822,employee,United States,Beth Anglin,Don Goodliffe,2023-09-30 16:57:13,Server failure for US node,Hardware,1 - Critical,1,FALSE
Network,Closed,2023-09-22 15:44:42,2023-09-19 3:45:00,Beth Anglin,INC000000823,employee,United States,Luke Wilson,Bud Richman,2023-09-22 15:44:42,Internet connection problem in the United States,Network,2 - High,2,FALSE
Hardware,Closed,2023-10-05 10:37:47,2023-09-19 8:44:00,Fred Luddy,INC000000824,admin,Australia,Charlie Whitherspoon,Don Goodliffe,2023-10-05 10:37:47,Printer546 is having issues,Hardware,2 - High,2,FALSE
Hardware,Resolved,2023-10-03 8:14:23,2023-09-20 6:22:00,Luke Wilson,INC000000825,system,Australia,Charlie Whitherspoon,Don Goodliffe,2023-10-03 8:14:23,The Printer546 in Australia is not working properly,Hardware,2 - High,2,FALSE
Hardware,Closed,2023-09-22 7:03:43,2023-09-20 20:36:00,Luke Wilson,INC000000826,system,United States,Charlie Whitherspoon,David Loo,2023-09-22 7:03:43,Server832 failure at the data center,Hardware,1 - Critical,2,FALSE
Hardware,Resolved,2023-10-05 14:06:46,2023-09-21 5:32:00,Beth Anglin,INC000000827,admin,United States,Charlie Whitherspoon,Don Goodliffe,2023-10-05 14:06:46,Monitor345 not functioning,Hardware,2 - High,2,FALSE
Network,Closed,2023-08-26 16:09:37,2023-08-22 3:19:00,Fred Luddy,INC000000789,admin,Australia,Beth Anglin,Bud Richman,2023-08-26 16:09:37,"Network connection issue, Australia",Network,2 - High,0,TRUE
Network,Closed,2023-09-22 21:14:00,2023-09-21 21:14:00,Beth Anglin,INC000000829,system,India,Howard Johnson,Don Goodliffe,2023-09-22 21:14:00,Network connectivity issue,Network,3 - Moderate,1,FALSE
Hardware,Closed,2023-10-06 7:39:17,2023-09-21 23:53:00,Fred Luddy,INC000000830,system,UK,Charlie Whitherspoon,David Loo,2023-10-06 7:39:17,Failed Hard Disk Drive on WorkstationUK786,Hardware,2 - High,1,FALSE
Hardware,Closed,2023-10-05 14:59:21,2023-09-24 10:56:00,Fred Luddy,INC000000831,system,Canada,Charlie Whitherspoon,David Loo,2023-10-05 14:59:21,Desktop PC not starting up,Hardware,2 - High,1,FALSE
Database,Closed,2023-10-03 8:53:37,2023-09-24 13:55:00,Howard Johnson,INC000000832,employee,UK,Fred Luddy,David Loo,2023-10-03 8:53:37,Error detected in Database6543,Database,2 - High,1,FALSE
Hardware,Closed,2023-09-26 2:31:00,2023-09-25 2:31:00,Beth Anglin,INC000000833,admin,Australia,Beth Anglin,David Loo,2023-09-26 2:31:00,Printer768 in Australia is malfunctioning,Hardware,2 - High,1,FALSE
Hardware,Closed,2023-08-25 7:22:00,2023-08-24 7:22:00,Luke Wilson,INC000000790,admin,Australia,Charlie Whitherspoon,David Loo,2023-08-25 7:22:00,Printer546 is offline,Hardware,2 - High,0,TRUE
Hardware,Closed,2023-08-25 22:41:00,2023-08-25 12:10:00,Fred Luddy,INC000000791,admin,Australia,Howard Johnson,David Loo,2023-09-03 18:58:34,Printer489 has a paper jam,Hardware,2 - High,0,TRUE
Network,Closed,2023-08-26 3:03:00,2023-08-25 22:41:00,Charlie Whitherspoon,INC000000792,employee,UK,Luke Wilson,Bud Richman,2023-08-30 14:14:08,Losing connectivity frequently,Network,2 - High,0,TRUE
Database,Resolved,2023-08-27 3:03:00,2023-08-26 3:03:00,Beth Anglin,INC000000793,admin,UK,Luke Wilson,ITIL User,2023-08-27 3:03:00,Issue with SQL Server783,Database,2 - High,0,TRUE
Database,Closed,2023-08-30 13:49:55,2023-08-27 21:14:00,Fred Luddy,INC000000794,system,Canada,Fred Luddy,Don Goodliffe,2023-08-30 13:49:55,Unable to connect to Database DB4434,Database,2 - High,0,TRUE
Hardware,Closed,2023-10-02 4:18:50,2023-09-27 0:04:00,Charlie Whitherspoon,INC000000839,admin,Australia,Charlie Whitherspoon,Don Goodliffe,2023-10-02 4:18:50,Printer855 is not functioning properly,Hardware,2 - High,1,FALSE
Inquiry / Help,Resolved,2023-10-10 20:23:45,2023-09-27 23:08:00,Howard Johnson,INC000000840,system,India,Charlie Whitherspoon,Don Goodliffe,2023-10-10 20:23:45,Inquiry about software installation,Service Desk,2 - High,2,FALSE
Network,Closed,2023-10-02 20:53:31,2023-09-28 1:57:00,Charlie Whitherspoon,INC000000841,admin,India,Luke Wilson,Don Goodliffe,2023-10-02 20:53:31,Network connectivity issue in India,Network,2 - High,2,FALSE
Hardware,Resolved,2023-10-12 20:28:39,2023-09-28 13:16:00,Beth Anglin,INC000000842,system,UK,Luke Wilson,David Loo,2023-10-12 20:28:39,Hard drive failure on Desktop577,Hardware,2 - High,2,FALSE
Hardware,Resolved,2023-09-30 3:37:15,2023-09-29 2:59:00,Fred Luddy,INC000000843,admin,Australia,Luke Wilson,Don Goodliffe,2023-09-30 3:37:15,Printer issue with Printer546 in Australia,Hardware,1 - Critical,2,FALSE
Database,Closed,2023-08-30 13:49:55,2023-08-28 16:06:00,Fred Luddy,INC000000795,employee,Australia,Luke Wilson,ITIL User,2023-09-01 14:19:29,Database error on SQL server,Database,2 - High,0,TRUE
Hardware,Closed,2023-10-01 17:15:13,2023-09-30 14:37:00,Luke Wilson,INC000000845,admin,Australia,Fred Luddy,David Loo,2023-10-01 17:15:13,Printer546 is malfunctioning in Australia,Hardware,2 - High,1,FALSE
Inquiry / Help,Closed,2023-10-10 7:28:02,2023-10-01 18:20:00,Luke Wilson,INC000000846,system,India,Beth Anglin,ITIL User,2023-10-10 7:28:02,Inquiry on Software Installation Guide,Service Desk,3 - Moderate,1,FALSE
Hardware,Resolved,2023-10-11 11:31:18,2023-10-01 20:05:00,Luke Wilson,INC000000847,admin,Australia,Charlie Whitherspoon,ITIL User,2023-10-11 11:31:18,Printer324 in Australia is not functioning properly,Hardware,3 - Moderate,1,FALSE
Hardware,Resolved,2023-10-03 1:05:00,2023-10-02 1:05:00,Howard Johnson,INC000000848,admin,Australia,Beth Anglin,David Loo,2023-10-03 1:05:00,Issue with Printer874 in Australia,Hardware,2 - High,1,FALSE
Hardware,Closed,2023-08-31 15:44:00,2023-08-30 15:44:00,Fred Luddy,INC000000796,system,Australia,Howard Johnson,ITIL User,2023-08-31 15:44:00,Printer546 is not working,Hardware,1 - Critical,0,TRUE
Hardware,Closed,2023-09-07 23:02:26,2023-08-31 14:06:00,Luke Wilson,INC000000797,admin,Australia,Charlie Whitherspoon,Don Goodliffe,2023-09-07 23:02:26,Printer392 is constantly jamming,Hardware,2 - High,0,TRUE
Hardware,Resolved,2023-09-07 9:17:08,2023-09-02 1:15:00,Beth Anglin,INC000000798,employee,Australia,Fred Luddy,ITIL User,2023-09-07 9:17:08,Printer786 malfunctioning,Hardware,1 - Critical,0,TRUE
Hardware,Resolved,2023-09-16 3:46:07,2023-09-04 16:00:00,Fred Luddy,INC000000804,admin,Australia,Luke Wilson,Bud Richman,2023-09-16 3:46:07,Printer failure on Printer546,Hardware,1 - Critical,0,TRUE
Hardware,Closed,2023-09-15 1:07:42,2023-09-04 18:36:00,Luke Wilson,INC000000805,system,UK,Charlie Whitherspoon,ITIL User,2023-09-15 1:07:42,Issue with desktop workstation 3F45,Hardware,2 - High,0,TRUE
Hardware,Closed,2023-09-13 23:47:45,2023-09-06 12:24:00,Luke Wilson,INC000000806,admin,United States,Charlie Whitherspoon,Don Goodliffe,2023-09-13 23:47:45,Server123 has crashed,Hardware,1 - Critical,0,TRUE
Network,Resolved,2023-09-13 4:40:34,2023-09-07 3:40:00,Howard Johnson,INC000000807,admin,Australia,Charlie Whitherspoon,Don Goodliffe,2023-09-13 4:40:34,Network outage in Australia,Network,1 - Critical,0,TRUE
Database,Resolved,2023-09-13 4:40:34,2023-09-07 17:44:00,Luke Wilson,INC000000808,employee,United States,Charlie Whitherspoon,ITIL User,2023-09-20 4:57:51,Unable to access client database on Oracle,Database,2 - High,0,TRUE
Hardware,Resolved,2023-09-13 0:09:56,2023-09-08 7:01:00,Luke Wilson,INC000000809,system,Australia,Howard Johnson,Bud Richman,2023-09-13 0:09:56,Printer546 in Australia is not working,Hardware,2 - High,0,TRUE
Hardware,Closed,2023-09-15 4:40:34,2023-09-14 10:29:00,Charlie Whitherspoon,INC000000815,admin,Canada,Luke Wilson,Bud Richman,2023-09-28 1:25:23,Server Crash on machine233,Hardware,1 - Critical,0,TRUE
Database,Closed,2023-09-16 11:23:21,2023-09-14 10:58:00,Fred Luddy,INC000000816,admin,Australia,Howard Johnson,Bud Richman,2023-09-16 11:23:21,Error in Database connectivity,Database,2 - High,0,TRUE
Hardware,Closed,2023-09-21 1:28:07,2023-09-14 13:00:00,Luke Wilson,INC000000817,admin,Australia,Charlie Whitherspoon,ITIL User,2023-09-21 1:28:07,Printer546 issue in Australia,Hardware,2 - High,0,TRUE
Inquiry / Help,Closed,2023-09-15 15:54:00,2023-09-14 15:54:00,Beth Anglin,INC000000818,employee,Australia,Luke Wilson,David Loo,2023-09-15 15:54:00,Printer546 is not working,Hardware,1 - Critical,0,TRUE
